Journal name,JCR Abbreviation,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category,2023 JIF
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,51,72.4,Q1,50.4,7.8,0,30358,GASTROENTEROLOGY & HEPATOLOGY,45.9
NATURE MEDICINE,NAT MED,50,52.4,Q1,49.2,10.8,325,133694,"BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY|MEDICINE, RESEARCH & EXPERIMENTAL",58.7
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,49.8,34.1,Q1,49.8,4,3,3499,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",37.3
NATURE,NATURE,48.5,55,Q1,47.7,11.8,1361,965275,MULTIDISCIPLINARY SCIENCES,50.5
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,46.7,42.8,Q1,45.6,11,74,33160,"COMPUTER SCIENCE, INFORMATION SYSTEMS|TELECOMMUNICATIONS",34.4
SCIENCE,SCIENCE,45.8,49.7,Q1,45.3,9.9,768,785913,MULTIDISCIPLINARY SCIENCES,44.7
LANCET NEUROLOGY,LANCET NEUROL,45.5,56.2,Q1,44.6,14.6,61,52666,CLINICAL NEUROLOGY,46.5
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,44.8,56.3,Q1,44.6,8.4,0,65614,"PHYSICS, MULTIDISCIPLINARY",45.9
Nature Catalysis,NAT CATAL,44.6,47.4,Q1,44.2,7.1,156,32070,"CHEMISTRY, PHYSICAL",42.8
CANCER CELL,CANCER CELL,44.5,47.2,Q1,43.9,9.8,105,56241,CELL BIOLOGY|ONCOLOGY,48.8
Nature Reviews Cardiology,NAT REV CARDIOL,44.2,52.9,Q1,43.7,7,4,22153,CARDIAC & CARDIOVASCULAR SYSTEMS,41.7
BMJ-British Medical Journal,BMJ-BRIT MED J,42.7,76.1,Q1,40.4,23.8,132,173910,"MEDICINE, GENERAL & INTERNAL",93.6
CELL,CELL,42.5,48.9,Q1,41.9,9.2,357,310873,BIOCHEMISTRY & MOLECULAR BIOLOGY|CELL BIOLOGY,45.5
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,41.9,37.7,Q1,41.1,13.1,342,169483,ONCOLOGY,42.1
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,41.8,41.7,Q1,41.1,7.1,56,22003,ENDOCRINOLOGY & METABOLISM,44
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,41.7,59.5,Q1,41,5.2,256,100474,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,33.1
Nature Electronics,NAT ELECTRON,40.9,42,Q1,40.1,4.5,146,20582,"ENGINEERING, ELECTRICAL & ELECTRONIC",33.7
Journal of Hematology & Oncology,J HEMATOL ONCOL,40.4,34.4,Q1,40,5.9,33,27071,HEMATOLOGY|ONCOLOGY,29.5
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,40,47,Q1,39.6,4.8,3,23507,ENDOCRINOLOGY & METABOLISM,31
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,40,44.8,Q1,39.6,8.2,0,36931,"MATERIALS SCIENCE, MULTIDISCIPLINARY",33.6
Nature Reviews Nephrology,NAT REV NEPHROL,39.8,44.5,Q1,39.3,6.1,3,19202,UROLOGY & NEPHROLOGY,28.6
Nature Reviews Physics,NAT REV PHYS,39.5,53.2,Q1,39.2,6.8,0,12208,"PHYSICS, APPLIED|PHYSICS, MULTIDISCIPLINARY",44.8
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,39,50.1,Q1,38.6,9.7,0,183460,"CHEMISTRY, MULTIDISCIPLINARY",40.4
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,38.6,34,Q1,38.1,10.2,52,16102,GASTROENTEROLOGY & HEPATOLOGY,30.9
CIRCULATION,CIRCULATION,38.6,35.9,Q1,37.7,10.2,246,177978,CARDIAC & CARDIOVASCULAR SYSTEMS|PERIPHERAL VASCULAR DISEASE,35.5
NATURE MATERIALS,NAT MATER,38.5,46.8,Q1,38.2,5.9,271,115316,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER",37.2
Nature Reviews Bioengineering,NAT REV BIOENG,37.6,37.6,Q1,36.8,8.8,1,2516,"ENGINEERING, BIOMEDICAL|MATERIALS SCIENCE, BIOMATERIALS",NA
REVIEWS OF GEOPHYSICS,REV GEOPHYS,37.3,34.6,Q1,37.2,3.8,0,18402,GEOCHEMISTRY & GEOPHYSICS,25.2
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,37,39.3,Q1,36.8,5.1,0,18841,"ENERGY & FUELS|ENGINEERING, CHEMICAL|ENGINEERING, MECHANICAL|THERMODYNAMICS",32
eScience,ESCIENCE,36.6,35.9,Q1,35.9,12.6,40,5679,"ELECTROCHEMISTRY|MATERIALS SCIENCE, MULTIDISCIPLINARY",42.9
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,36.3,34.1,Q1,35.7,9,0,5833,ELECTROCHEMISTRY,28.4
Nano-Micro Letters,NANO-MICRO LETT,36.3,30.1,Q1,34.6,16.2,186,35542,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED",31.6
LANCET ONCOLOGY,LANCET ONCOL,35.9,42,Q1,35.3,7.8,140,74077,ONCOLOGY,41.6
EUROPEAN HEART JOURNAL,EUR HEART J,35.6,34.4,Q1,32.6,6.4,264,90583,CARDIAC & CARDIOVASCULAR SYSTEMS,37.6
Joule,JOULE,35.4,43.7,Q1,34.8,9.8,146,44869,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY",38.6
Nature Nanotechnology,NAT NANOTECHNOL,34.9,40.4,Q1,34.6,7.1,195,80966,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY",38.1
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,34.5,39.7,Q1,34.4,10.1,0,9486,PATHOLOGY,28.4
Molecular Cancer,MOL CANCER,33.9,35.9,Q1,33.3,4.2,124,42332,BIOCHEMISTRY & MOLECULAR BIOLOGY|ONCOLOGY,27.7
Annual Review of Immunology,ANNU REV IMMUNOL,33.3,37.7,Q1,33.2,5.9,0,19882,IMMUNOLOGY,26.9
Cancer Discovery,CANCER DISCOV,33.3,33,Q1,32.8,8,98,36517,ONCOLOGY,29.7
iMeta,IMETA,33.2,33.2,Q1,32,7,50,3418,MICROBIOLOGY,23.7
Nature Reviews Neurology,NAT REV NEUROL,33.1,43.4,Q1,32.8,7.2,3,22117,CLINICAL NEUROLOGY,28.2
JOURNAL OF HEPATOLOGY,J HEPATOL,33,28.1,Q1,31.7,13.2,146,64858,GASTROENTEROLOGY & HEPATOLOGY,26.8
Nature Photonics,NAT PHOTONICS,32.9,38.2,Q1,32.3,10.1,150,61047,"OPTICS|PHYSICS, APPLIED",32.3
Lancet Respiratory Medicine,LANCET RESP MED,32.8,35.4,Q1,32.6,12.2,58,22960,CRITICAL CARE MEDICINE|RESPIRATORY SYSTEM,38.7
Nature Reviews Rheumatology,NAT REV RHEUMATOL,32.7,35.7,Q1,32.2,4.4,10,17758,RHEUMATOLOGY,29.4
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,32.5,41.2,Q1,32,2.5,0,17476,ASTRONOMY & ASTROPHYSICS,26.3
eLight,ELIGHT,32.1,32.2,Q1,31.8,5,18,1809,OPTICS,27.2
NATURE METHODS,NAT METHODS,32.1,51.7,Q1,31.1,5.4,231,126671,BIOCHEMICAL RESEARCH METHODS,36.1
Interdisciplinary Materials,INTERD MATER,31.6,31.6,Q1,30.7,5.6,34,2501,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED",24.5
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,31.1,25.1,Q1,30.9,13.3,3,6408,"MANAGEMENT|PSYCHOLOGY, APPLIED",14.3
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,31,26.9,Q1,30.4,14.2,120,39986,INFECTIOUS DISEASES,36.4
Cell Metabolism,CELL METAB,30.9,33.4,Q1,30.4,7.2,118,62544,CELL BIOLOGY|ENDOCRINOLOGY & METABOLISM,27.7
Energy & Environmental Science,ENERG ENVIRON SCI,30.8,35.1,Q1,29.6,5.3,630,124260,"CHEMISTRY, MULTIDISCIPLINARY|ENERGY & FUELS|ENGINEERING, CHEMICAL|ENVIRONMENTAL SCIENCES",32.4
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,30.7,28.7,Q1,30.7,4.6,0,6123,"PHYSICS, CONDENSED MATTER",14.3
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,30.2,32.6,Q1,30,10,0,18806,"MECHANICS|PHYSICS, FLUIDS & PLASMAS",25.4
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,29.5,29.3,Q1,29.3,10.5,0,37977,"PHYSICS, MULTIDISCIPLINARY",23.9
Annual Review of Psychology,ANNU REV PSYCHOL,29.4,34.4,Q1,29.2,11.3,0,29863,"PSYCHOLOGY|PSYCHOLOGY, MULTIDISCIPLINARY",23.6
NATURE GENETICS,NAT GENET,29,37.4,Q1,28.2,4.2,222,109385,GENETICS & HEREDITY,31.7
Physiological Reviews,PHYSIOL REV,28.7,47.7,Q1,28.5,8.3,0,38334,PHYSIOLOGY,29.9
Nature Cancer,NAT CANCER,28.5,28.6,Q1,28,4.4,143,10654,ONCOLOGY,23.5
ACM COMPUTING SURVEYS,ACM COMPUT SURV,28,26.3,Q1,27.6,7.2,253,34623,"COMPUTER SCIENCE, THEORY & METHODS",23.8
Living Reviews in Solar Physics,LIVING REV SOL PHYS,27.6,26.1,Q1,27.1,10,0,2244,ASTRONOMY & ASTROPHYSICS,23
NATURE IMMUNOLOGY,NAT IMMUNOL,27.6,29.2,Q1,27.2,3.2,254,56248,IMMUNOLOGY,27.7
Science Robotics,SCI ROBOT,27.5,32.9,Q1,26.8,4.2,75,14245,ROBOTICS,26.1
Nature Sustainability,NAT SUSTAIN,27.1,32.8,Q1,26.8,5.1,190,24660,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,25.7
Nature Climate Change,NAT CLIM CHANGE,27.1,32.9,Q1,26.7,3,217,53557,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES|METEOROLOGY & ATMOSPHERIC SCIENCES,29.6
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,27,18.4,Q1,26.9,2.2,3,12176,"CHEMISTRY, MULTIDISCIPLINARY|MATHEMATICAL & COMPUTATIONAL BIOLOGY",16.8
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,27,23,Q1,25.7,7.3,67,23587,INFORMATION SCIENCE & LIBRARY SCIENCE,20.1
NEW ASTRONOMY REVIEWS,NEW ASTRON REV,26.8,13.7,Q1,26.7,1.9,9,1642,ASTRONOMY & ASTROPHYSICS,11.7
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,26.8,36.7,Q1,26.4,2.9,25,11124,"MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED",31.6
ADVANCED MATERIALS,ADV MATER,26.8,28.9,Q1,25.4,5.6,2822,459817,"CHEMISTRY, MULTIDISCIPLINARY|CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER",27.4
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,26.7,36.7,Q1,26.5,5.2,2,47681,NEUROSCIENCES,28.7
Nature Biomedical Engineering,NAT BIOMED ENG,26.6,30.4,Q1,26.3,2.6,129,20416,"ENGINEERING, BIOMEDICAL",26.8
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,26.5,34.5,Q1,26.5,3.6,0,3310,ASTRONOMY & ASTROPHYSICS,27.8
Annual Review of Plant Biology,ANNU REV PLANT BIOL,26.5,30.5,Q1,26.3,3.3,0,23852,PLANT SCIENCES,21.3
Immunity,IMMUNITY,26.3,33.2,Q1,25.7,6,142,75218,IMMUNOLOGY,25.5
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,26.1,31.6,Q1,25.8,6.9,0,29638,POLYMER SCIENCE,26
Advanced Energy Materials,ADV ENERGY MATER,26,26.8,Q1,24.9,5.1,1061,157278,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER",24.4
CELL RESEARCH,CELL RES,25.9,36.6,Q1,25.7,4.4,81,29251,CELL BIOLOGY,28.1
PROCEEDINGS OF THE IEEE,P IEEE,25.9,25,Q1,25.6,2.5,58,44868,"ENGINEERING, ELECTRICAL & ELECTRONIC",23.2
GUT,GUT,25.8,25.3,Q1,25,4,151,62303,GASTROENTEROLOGY & HEPATOLOGY,23
Innovation,INNOVATION-AMSTERDAM,25.7,40.2,Q1,24.6,8.8,50,9272,MULTIDISCIPLINARY SCIENCES,33.2
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,25.4,89,Q1,25.2,2.2,6,4667,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",65.3
Lancet Public Health,LANCET PUBLIC HEALTH,25.2,29.8,Q1,24.9,5.2,81,13242,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",25.4
EUROPEAN UROLOGY,EUR UROL,25.2,22,Q1,24.6,9.8,79,36969,UROLOGY & NEPHROLOGY,25.3
Gastroenterology,GASTROENTEROLOGY,25.1,26.9,Q1,24.5,6,140,89848,GASTROENTEROLOGY & HEPATOLOGY,25.7
Advanced Powder Materials,ADV POWDER MATER,24.9,24.9,Q1,24,12.1,56,2722,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY",28.6
Cancer Communications,CANCER COMMUN,24.9,22.2,Q1,24.6,2.9,30,6881,ONCOLOGY,20.1
FUNGAL DIVERSITY,FUNGAL DIVERS,24.8,28.3,Q1,22.1,5.2,16,7387,MYCOLOGY,24.5
Lancet Psychiatry,LANCET PSYCHIAT,24.8,33,Q1,24.2,5.5,61,20482,PSYCHIATRY,30.8
Carbon Energy,CARBON ENERGY,24.2,23,Q1,22.7,6.2,134,8843,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY",19.5
Nature Water,NAT WATER,24.1,24.1,Q1,23.4,5.1,99,2619,ENVIRONMENTAL SCIENCES|WATER RESOURCES,NA
Lancet Digital Health,LANCET DIGIT HEALTH,24.1,27.6,Q1,23.8,4.8,71,8495,"MEDICAL INFORMATICS|MEDICINE, GENERAL & INTERNAL",23.8
Molecular Plant,MOL PLANT,24.1,25.8,Q1,23.5,4.8,83,27566,BIOCHEMISTRY & MOLECULAR BIOLOGY|PLANT SCIENCES,17.1
Nature Machine Intelligence,NAT MACH INTELL,23.9,31.8,Q1,23.4,3.6,141,15338,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",18.8
EnergyChem,ENERGYCHEM,23.8,25.5,Q1,23.7,6.7,21,2730,"CHEMISTRY, MULTIDISCIPLINARY|ENERGY & FUELS|ENGINEERING, CHEMICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY",22.2
Advances in Optics and Photonics,ADV OPT PHOTONICS,23.8,31.5,Q1,23.6,4.1,7,4926,OPTICS,25.2
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,23.5,22.7,Q1,22.4,5.5,0,73051,"CHEMISTRY, INORGANIC & NUCLEAR",20.3
Light-Science & Applications,LIGHT-SCI APPL,23.4,23.1,Q1,22.7,5.1,222,29813,OPTICS,20.6
JAMA Internal Medicine,JAMA INTERN MED,23.3,22.3,Q1,22.7,6.8,109,26042,"MEDICINE, GENERAL & INTERNAL",22.5
BLOOD,BLOOD,23.1,19.7,Q1,22.1,4.1,374,165822,HEMATOLOGY,21
Military Medical Research,MILITARY MED RES,22.9,18.5,Q1,22.1,2.8,31,5419,"MEDICINE, GENERAL & INTERNAL",16.7
Exploration,EXPLORATION-PRC,22.5,22.8,Q1,22.2,6,28,4630,"MATERIALS SCIENCE, MULTIDISCIPLINARY|MULTIDISCIPLINARY SCIENCES|NANOSCIENCE & NANOTECHNOLOGY",NA
Opto-Electronic Advances,OPTO-ELECTRON ADV,22.4,15.4,Q1,21.6,6.6,50,3642,OPTICS,15.3
InfoMat,INFOMAT,22.3,21.1,Q1,21.9,4.2,75,8210,"MATERIALS SCIENCE, MULTIDISCIPLINARY",22.7
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,22.3,24.2,Q1,21.3,5.8,281,117273,CARDIAC & CARDIOVASCULAR SYSTEMS,21.7
Annual Review of Medicine,ANNU REV MED,22.1,17.6,Q1,22.1,5.6,0,7944,"MEDICINE, RESEARCH & EXPERIMENTAL",15.1
ENDOCRINE REVIEWS,ENDOCR REV,22,29,Q1,21.8,4.6,0,18260,ENDOCRINOLOGY & METABOLISM,22
Materials Today,MATER TODAY,22,25.3,Q1,21.8,4,168,32433,"MATERIALS SCIENCE, MULTIDISCIPLINARY",21.1
Nature Food,NAT FOOD,21.9,28.3,Q1,21.2,2.8,146,10263,FOOD SCIENCE & TECHNOLOGY,23.6
Nature Reviews Psychology,NAT REV PSYCHOL,21.8,21.8,Q1,21.4,2.8,2,2378,"PSYCHOLOGY, MULTIDISCIPLINARY",16.8
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,21.8,16.8,Q1,20.2,4.2,206,13770,"MATERIALS SCIENCE, COMPOSITES|NANOSCIENCE & NANOTECHNOLOGY",23.2
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,21.7,23,Q1,20.6,4.3,97,7075,PHARMACOLOGY & PHARMACY,15.8
Lancet Planetary Health,LANCET PLANET HEALTH,21.6,27.1,Q1,21,3.4,76,11302,"ENVIRONMENTAL SCIENCES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",24.1
SusMat,SUSMAT,21.3,21.7,Q1,20.6,4.5,44,3288,"CHEMISTRY, MULTIDISCIPLINARY|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|MATERIALS SCIENCE, MULTIDISCIPLINARY",18.7
International Journal of Extreme Manufacturing,INT J EXTREME MANUF,21.3,18.5,Q1,18.8,8.4,51,4738,"ENGINEERING, MANUFACTURING|MATERIALS SCIENCE, MULTIDISCIPLINARY",16.1
Advanced Fiber Materials,ADV FIBER MATER,21.3,18.3,Q1,20.1,5.3,122,6644,"MATERIALS SCIENCE, MULTIDISCIPLINARY|MATERIALS SCIENCE, TEXTILES",17.2
JAMA Neurology,JAMA NEUROL,21.3,22.4,Q1,21,4.6,96,23513,CLINICAL NEUROLOGY,20.4
INTENSIVE CARE MEDICINE,INTENS CARE MED,21.2,25.7,Q1,19.5,5.2,99,30481,CRITICAL CARE MEDICINE,27.1
Science Bulletin,SCI BULL,21.1,17.6,Q1,20.5,5.7,225,22137,MULTIDISCIPLINARY SCIENCES,18.8
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,21.1,20.2,Q1,19.9,3.8,1131,181789,"CHEMISTRY, PHYSICAL|ENGINEERING, CHEMICAL|ENGINEERING, ENVIRONMENTAL",20.2
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,21,18.9,Q1,19.8,3.9,169,54382,RESPIRATORY SYSTEM,16.6
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,20.8,14.7,Q1,13.7,7.8,37,3984,"ETHICS|MEDICAL ETHICS|SOCIAL ISSUES|SOCIAL SCIENCES, BIOMEDICAL",17
Nature Metabolism,NAT METAB,20.8,23.2,Q1,20.4,4,176,13659,ENDOCRINOLOGY & METABOLISM,18.9
Journal of Thoracic Oncology,J THORAC ONCOL,20.8,18.4,Q1,20.1,6.7,92,27302,ONCOLOGY|RESPIRATORY SYSTEM,21
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,20.8,21.3,Q1,20.4,7.6,36,32426,PLANT SCIENCES,17.3
Annual Review of Public Health,ANNU REV PUBL HEALTH,20.7,28.4,Q1,20.5,5.4,0,11889,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",21.4
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,20.7,20.9,Q1,20.6,3.1,34,23580,"PHYSICS, MULTIDISCIPLINARY",19
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,20.6,18.6,Q1,19.9,3.4,139,53850,RHEUMATOLOGY,20.3
Annual Review of Biochemistry,ANNU REV BIOCHEM,20.5,24.9,Q1,20.4,3.5,0,21076,BIOCHEMISTRY & MOLECULAR BIOLOGY,12.1
Lancet Microbe,LANCET MICROBE,20.4,19.8,Q1,20.1,6.4,97,5767,INFECTIOUS DISEASES|MICROBIOLOGY,20.9
Environmental Chemistry Letters,ENVIRON CHEM LETT,20.4,18.9,Q1,19.5,5.1,30,21027,"CHEMISTRY, MULTIDISCIPLINARY|ENGINEERING, ENVIRONMENTAL|ENVIRONMENTAL SCIENCES",15
Cell Stem Cell,CELL STEM CELL,20.4,21.8,Q1,19.8,4.9,93,31315,CELL & TISSUE ENGINEERING|CELL BIOLOGY,19.8
Bioactive Materials,BIOACT MATER,20.3,20.5,Q1,19.5,6.8,360,31698,"ENGINEERING, BIOMEDICAL|MATERIALS SCIENCE, BIOMATERIALS",18
Nature Chemistry,NAT CHEM,20.2,22.6,Q1,20,5.3,263,48186,"CHEMISTRY, MULTIDISCIPLINARY",19.2
Energy Storage Materials,ENERGY STORAGE MATER,20.2,20.2,Q1,18.8,3.9,797,63242,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY",18.9
JAMA Oncology,JAMA ONCOL,20.1,24.7,Q1,19.7,4.3,122,29807,ONCOLOGY,22.5
Nature Synthesis,NAT SYNTH,20,20,Q1,19.6,4.3,182,5147,"CHEMISTRY, MULTIDISCIPLINARY",NA
NATURE NEUROSCIENCE,NAT NEUROSCI,20,24.8,Q1,19.5,4.3,210,71254,NEUROSCIENCES,21.2
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,19.9,16.8,Q1,19.8,3.6,16,15305,PHARMACOLOGY & PHARMACY,13.9
Cellular & Molecular Immunology,CELL MOL IMMUNOL,19.8,22.6,Q1,19.7,2.4,68,16944,IMMUNOLOGY,21.8
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,19.8,28.5,Q1,19.5,2.8,29,59903,"PSYCHOLOGY|PSYCHOLOGY, MULTIDISCIPLINARY",17.3
Chem,CHEM-US,19.6,23.4,Q1,19.4,6.4,167,29818,"CHEMISTRY, MULTIDISCIPLINARY",19.1
Nature Aging,NATURE AGING,19.4,21.9,Q1,18.8,4.8,107,6408,CELL BIOLOGY|GERIATRICS & GERONTOLOGY|NEUROSCIENCES,17
Nature Microbiology,NAT MICROBIOL,19.4,20.7,Q1,19,3.6,265,26762,MICROBIOLOGY,20.5
