Journal name,JCR Abbreviation,2023 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
Nature Human Behaviour,NAT HUM BEHAV,21.4,20.4,Q1,21,3.7,146,14996,"MULTIDISCIPLINARY SCIENCES|NEUROSCIENCES|PSYCHOLOGY, EXPERIMENTAL"
Annual Review of Plant Biology,ANNU REV PLANT BIOL,21.3,28.2,Q1,21.1,6.4,0,23058,PLANT SCIENCES
NATURE NEUROSCIENCE,NAT NEUROSCI,21.2,25.6,Q1,20.8,4,167,69714,NEUROSCIENCES
Materials Today,MATER TODAY,21.1,25.4,Q1,20.9,5.3,161,27880,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
Journal of Thoracic Oncology,J THORAC ONCOL,21,16.5,Q1,20.1,5.2,88,25813,ONCOLOGY|RESPIRATORY SYSTEM
BLOOD,BLOOD,21,19.2,Q1,20.1,5,328,168059,HEMATOLOGY
Lancet Microbe,LANCET MICROBE,20.9,23.4,Q1,20.4,7,74,4532,INFECTIOUS DISEASES|MICROBIOLOGY
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,20.8,22.2,Q1,19.6,5.4,1001,84194,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|ENGINEERING, ELECTRICAL & ELECTRONIC"
Advanced Photonics,ADV PHOTONICS,20.6,16.5,Q1,20.3,2.7,47,2615,OPTICS
Light-Science & Applications,LIGHT-SCI APPL,20.6,20.3,Q1,20.2,4,196,22595,OPTICS
Cell Host & Microbe,CELL HOST MICROBE,20.6,22.1,Q1,20.1,5.3,114,30964,MICROBIOLOGY|PARASITOLOGY|VIROLOGY
Nature Microbiology,NAT MICROBIOL,20.5,21,Q1,20.2,3.9,167,23267,MICROBIOLOGY
JAMA Neurology,JAMA NEUROL,20.4,20.4,Q1,20.1,4.1,97,20770,CLINICAL NEUROLOGY
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,20.3,18.4,Q1,18.8,5.2,137,52707,RHEUMATOLOGY
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,20.3,19.9,Q1,19.5,4.2,1,58574,"CHEMISTRY, INORGANIC & NUCLEAR"
Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,20.2,N/A,N/A,20.1,6.9,27,2006,"MATERIALS SCIENCE, PAPER & WOOD"
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,20.2,18.9,Q1,18.9,4,1090,162514,"CHEMISTRY, PHYSICAL|ENGINEERING, CHEMICAL|ENGINEERING, ENVIRONMENTAL"
Cancer Communications,CANCER COMMUN,20.1,16.7,Q1,19.8,2.1,40,5020,ONCOLOGY
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,20.1,19.2,Q1,19,9,72,20325,INFORMATION SCIENCE & LIBRARY SCIENCE
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,19.9,19.8,Q1,19.7,4.2,53,7476,PEDIATRICS
Lancet Global Health,LANCET GLOB HEALTH,19.9,26.4,Q1,19.6,5.7,138,22827,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
Cell Stem Cell,CELL STEM CELL,19.8,22.6,Q1,19.2,4.5,82,30699,CELL & TISSUE ENGINEERING|CELL BIOLOGY
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,19.6,28.8,Q1,19.1,4,128,64849,"MEDICINE, GENERAL & INTERNAL"
Carbon Energy,CARBON ENERGY,19.5,19.9,Q1,18.4,4.7,92,5024,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
Kidney International Supplements,KIDNEY INT SUPPL,19.3,14.2,Q1,19.3,N/A,0,3049,UROLOGY & NEPHROLOGY
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,19.3,22.1,Q1,19.3,4.9,0,12604,PHARMACOLOGY & PHARMACY
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,19.3,17.1,Q1,18.7,4.8,30,40929,BUSINESS|MANAGEMENT
ACS Energy Letters,ACS ENERGY LETT,19.3,20.8,Q1,18.5,3.8,501,55559,"CHEMISTRY, PHYSICAL|ELECTROCHEMISTRY|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,19.3,20,Q1,18.2,7.2,173,67296,CRITICAL CARE MEDICINE|RESPIRATORY SYSTEM
Nature Chemistry,NAT CHEM,19.2,22,Q1,19,4.2,181,42489,"CHEMISTRY, MULTIDISCIPLINARY"
Chem,CHEM-US,19.1,23.8,Q1,18.9,5.1,170,25402,"CHEMISTRY, MULTIDISCIPLINARY"
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,19,18.2,Q1,19,8,6,20914,"PHYSICS, MULTIDISCIPLINARY"
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,19,33.8,Q1,19,1.5,0,23907,MICROBIOLOGY
Nature Metabolism,NAT METAB,18.9,21,Q1,18.6,3.9,128,9543,ENDOCRINOLOGY & METABOLISM
Energy Storage Materials,ENERGY STORAGE MATER,18.9,18.4,Q1,18,3.4,493,47960,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY"
Nature Machine Intelligence,NAT MACH INTELL,18.8,26.4,Q1,18.3,3.2,123,9760,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
Science Bulletin,SCI BULL,18.8,15.8,Q1,18.3,4.7,189,18154,MULTIDISCIPLINARY SCIENCES
SusMat,SUSMAT,18.7,18.7,Q1,17.9,2.7,41,1635,"CHEMISTRY, MULTIDISCIPLINARY|GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|MATERIALS SCIENCE, MULTIDISCIPLINARY"
Journal of Advanced Ceramics,J ADV CERAM,18.6,15,Q1,16.6,3.3,157,7463,"MATERIALS SCIENCE, CERAMICS"
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,18.6,20.3,Q1,17.9,4.3,0,11987,OPHTHALMOLOGY
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,18.5,19.6,Q1,17.4,3.6,3194,250260,"CHEMISTRY, MULTIDISCIPLINARY|CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY|PHYSICS, APPLIED|PHYSICS, CONDENSED MATTER"
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,18.2,40,Q1,18.1,2.8,5,2770,"PSYCHOLOGY, MULTIDISCIPLINARY"
Bioactive Materials,BIOACT MATER,18,18.2,Q1,17.2,9.3,366,21928,"ENGINEERING, BIOMEDICAL|MATERIALS SCIENCE, BIOMATERIALS"
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,17.8,21.9,Q1,17.8,3.3,19,9235,"PSYCHOLOGY|PSYCHOLOGY, CLINICAL"
Science Immunology,SCI IMMUNOL,17.6,19.1,Q1,17.4,3.7,114,12436,IMMUNOLOGY
Nature Physics,NAT PHYS,17.6,19.3,Q1,17.3,4.2,211,48457,"PHYSICS, MULTIDISCIPLINARY"
PERIODONTOLOGY 2000,PERIODONTOL 2000,17.5,16.8,Q1,16.9,1.8,0,9590,"DENTISTRY, ORAL SURGERY & MEDICINE"
Computational Visual Media,COMPUT VIS MEDIA,17.3,N/A,N/A,16.7,1.4,44,1684,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
Matter,MATTER-US,17.3,18.9,Q1,17,3.6,153,14249,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,17.3,20.1,Q1,17,6.7,12,30859,PLANT SCIENCES
NATURE CELL BIOLOGY,NAT CELL BIOL,17.3,24.2,Q1,17.1,4.6,129,47382,CELL BIOLOGY
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,17.3,24.1,Q1,17,2.1,7,57102,"PSYCHOLOGY|PSYCHOLOGY, MULTIDISCIPLINARY"
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,17.2,N/A,N/A,17,6.1,16,2638,"ENGINEERING, BIOMEDICAL"
Advanced Fiber Materials,ADV FIBER MATER,17.2,15.7,Q1,16.1,4.7,78,4009,"MATERIALS SCIENCE, MULTIDISCIPLINARY|MATERIALS SCIENCE, TEXTILES"
Molecular Plant,MOL PLANT,17.1,21.4,Q1,16.5,5.5,81,23905,BIOCHEMISTRY & MOLECULAR BIOLOGY|PLANT SCIENCES
